"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 10:03:52 UTC 2025","Sat Jul 19 10:03:53 UTC 2025","1242","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAuthorBoundaryIdValueTest","Get author with boundary ID value Get author with boundary ID value: 2147483648 value",""
"passed","Sat Jul 19 10:03:56 UTC 2025","Sat Jul 19 10:03:57 UTC 2025","1299","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBookByInvalidIdTest","Get book by invalid ID",""
"failed","Sat Jul 19 10:04:00 UTC 2025","Sat Jul 19 10:04:03 UTC 2025","2883","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","updateNotExistingBookTest","Update not existing book",""
"failed","Sat Jul 19 10:03:56 UTC 2025","Sat Jul 19 10:03:58 UTC 2025","1974","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","createAuthorWithNotRequiredFieldsTest","Create author with not required fields Create author with not required fields: {firstName=Arnold}",""
"passed","Sat Jul 19 10:03:56 UTC 2025","Sat Jul 19 10:03:56 UTC 2025","339","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBookByValidIdTest","Get book by valid ID",""
"failed","Sat Jul 19 10:04:01 UTC 2025","Sat Jul 19 10:04:04 UTC 2025","2515","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","updateAuthorTest","Update author Update author: All valid fields",""
"failed","Sat Jul 19 10:04:02 UTC 2025","Sat Jul 19 10:04:05 UTC 2025","3094","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","updateBookWithNotRequiredFieldsTest","Update book with not required fields Update book with not required fields: {description=Laborum tenetur optio amet magnam assumenda occaecati beatae.}",""
"failed","Sat Jul 19 10:04:07 UTC 2025","Sat Jul 19 10:04:09 UTC 2025","1758","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookWithNotRequiredFieldsTest","Create book with not required fields Create book with not required fields: {title=The Road Less Traveled}",""
"passed","Sat Jul 19 10:03:56 UTC 2025","Sat Jul 19 10:03:56 UTC 2025","293","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBookStringIdValueTest","Get book with string ID value",""
"passed","Sat Jul 19 10:03:57 UTC 2025","Sat Jul 19 10:03:57 UTC 2025","309","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","deleteAuthorBoundaryIdValueTest","Delete author with boundary ID value Delete author with boundary ID value: 2147483648 value",""
